id,isbn,title,all_authors,author_gender,publisher,publication_date,format,category,all_narrators,narrator_gender,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos
SvB_BS_008,9789164230225,Den röda vargen,Liza Marklund,F,Piratförlaget,2003-06-01,bestseller,CRIME,Katarina Ewerlöf,F,2004,9,na,na,na,na
SvB_BS_009,9789173489034,"En annan tid, ett annat liv",Leif G.W. Persson,M,Bonnier Audio,2014-05-01,bestseller,CRIME,Thomas Pontén,M,2004,10,na,na,na,na
SvB_BS_010,9789164230126,Bortom sanningen,Anne Holt,F,Piratförlaget,2006-06-01,bestseller,CRIME,Torsten Wahlund,M,no,no,2004,5,na,na
SvB_BS_011,9789176516997,Ett öga rött,Jonas Hassen Khemiri,M,Bonnier Audio,2017-05-15,bestseller,OTHER,Hamadi Khemiri,M,no,no,2004,3,na,na
SvB_BS_012,9789173480741,Solstorm,Åsa Larsson,F,Bonnier Audio,2007-11-13,bestseller,CRIME,Marie Richardson,F,no,no,2004,6,na,na
SvB_BS_013,9789173480222,Änglar och demoner,Dan Brown,M,Bonnier Audio,2009-10-01,bestseller,CRIME,Johan Rabaeus,M,2005,1,na,na,na,na
SvB_BS_014,9789173480352,I cirkelns mitt,Dan Brown,M,Bonnier Audio,2009-10-01,bestseller,CRIME,Per Mattsson,M,2005,3,na,na,na,na
SvB_BS_015,9789100152277,Linda - som i Lindamordet,Leif G.W. Persson,M,Bonniers,2005,bestseller,CRIME,Tomas Bolme,M,2005,5,na,na,na,na
SvB_BS_017,9789173431057,Kennedys hjärna,Henning Mankell,M,Leopard Förlag,2018-02-23,bestseller,OTHER,Gunilla Leining,F,2005,8,na,na,na,na
SvB_BS_018,9789173480307,Stenhuggaren,Camilla Läckberg,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,2005,10,na,na,na,na
SvB_BS_019,9789176515761,Efter alla år av saknad,Peter Robinson,M,Bonnier Audio,2018-05-04,bestseller,CRIME,Tomas Bolme,M,no,no,2005,5,na,na
SvB_BS_020,9789173480116,Det blod som spillts,Åsa Larsson,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,no,no,2005,7,na,na
SvB_BS_021,9789173480086,Predikanten,Camilla Läckberg,F,Bonnier Audio,2007-11-05,bestseller,CRIME,Eva Röse,F,no,no,2005,3,na,na
SvB_BS_022,9789170361159,Små citroner gula,Kajsa Ingemarsson,F,Storyside,2006-05-01,bestseller,OTHER,Kajsa Ingemarsson,F,no,no,2005,1,na,na
SvB_BS_023,9789173481533,Tillsammans är man mindre ensam,Anna Gavalda,F,Bonnier Audio,2007-09-21,bestseller,OTHER,Eva Röse,F,no,no,2006,3,na,na
SvB_BS_024,9789164230881,Madame Terror,Jan Guillou,M,Piratförlaget,2006-08-01,bestseller,CRIME,Tomas Bolme,M,2006,1,na,na,na,na
SvB_BS_025,9789164230737,Nobels testamente,Liza Marklund,F,Piratförlaget,2006-06-01,bestseller,CRIME,Katarina Ewerlöf,F,2006,2,na,na,na,na
SvB_BS_026,9789173133609,Flickan som lekte med elden,Stieg Larsson,M,Norstedts,2007-05-01,bestseller,CRIME,"Reine Brynolfsson, Sherman Howard",M,2006,3,na,na,na,na
SvB_BS_027,9789173480543,Olycksfågeln,Camilla Läckberg,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,2006,5,na,na,na,na
SvB_BS_028,9789173480611,Svart stig,Åsa Larsson,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,2006,7,na,na,na,na
SvB_BS_029,9789173480468,Människa utan hund,Håkan Nesser,M,Bonnier Audio,2007-09-21,bestseller,CRIME,Håkan Nesser,M,2006,8,na,na,na,na
SvB_BS_030,9789173481182,Svinalängorna,Susanna Alakoski,F,Bonnier Audio,2007-11-05,bestseller,PRESTIGE,Sannamari Patjas,F,2006,9,na,na,na,na
SvB_BS_031,9789173133029,Mannen som dog som en lax,Mikael Niemi,M,Norstedts,2007-06-01,bestseller,OTHER,Mikael Niemi,M,2006,10,na,na,na,na
SvB_BS_032,9789178090969,Skam,Karin Alvtegen,F,Brombergs,2019-06-24,bestseller,OTHER,Karin Alvtegen,F,no,no,2006,12,na,na
SvB_BS_034,9789170360985,Den ryske vännen,Kajsa Ingemarsson,F,Storyside,2006-05-01,bestseller,OTHER,Pia Johansson,F,no,no,2006,11,na,na
SvB_BS_035,9789173489355,En lek med eld,Peter Robinson,M,Bonnier Audio,2014-07-01,bestseller,CRIME,Tomas Bolme,M,no,no,2006,15,na,na
SvB_BS_036,9789173133586,Män som hatar kvinnor,Stieg Larsson,M,Norstedts,2007-04-01,bestseller,CRIME,Reine Brynolfsson,M,no,no,2006,1,na,na
SvB_BS_037,9789173480451,Isprinsessan,Camilla Läckberg,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,no,no,2006,6,na,na
SvB_BS_038,9789173489027,Mordet på Harriet Krohn,Karin Fossum,F,Bonnier Audio,2014-06-26,bestseller,CRIME,Torsten Wahlund,M,no,no,2006,20,na,na
SvB_BS_039,9789173480628,Mossvikenfruar - Chansen,Emma Hamberg,F,Bonnier Audio,2007-09-21,bestseller,OTHER,Emma Hamberg,F,no,no,2006,18,na,na
SvB_BS_040,9789164234278,Box 21,Roslund & Hellström,M,Piratförlaget,2020-01-17,bestseller,CRIME,Thomas Hanzon,M,no,no,2006,16,na,na
SvB_BS_041,9789173480208,Flickan med majblommorna,Karin Wahlberg,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Torsten Wahlund,M,no,no,2006,19,na,na
SvB_BS_042,9789173133692,Luftslottet som sprängdes,Stieg Larsson,M,Norstedts,2007-04-01,bestseller,CRIME,Reine Brynolfsson,M,2007,1,na,na,na,na
SvB_BS_043,9789173481205,Tyskungen,Camilla Läckberg,F,Bonnier Audio,2007-10-19,bestseller,CRIME,Katarina Ewerlöf,F,2007,2,na,na,na,na
SvB_BS_044,9789164231598,Livstid,Liza Marklund,F,Piratförlaget,2007-08-01,bestseller,CRIME,Katarina Ewerlöf,F,2007,3,na,na,na,na
SvB_BS_045,9789173481434,Faller fritt som i en dröm,Leif G.W. Persson,M,Bonnier Audio,2007-09-21,bestseller,CRIME,Peter Andersson,M,2007,4,na,na,na,na
SvB_BS_046,9789173481588,En helt annan historia,Håkan Nesser,M,Bonnier Audio,2007-11-05,bestseller,CRIME,Håkan Nesser,M,2007,5,na,na,na,na
SvB_BS_047,9789164231628,Fienden inom oss,Jan Guillou,M,Piratförlaget,2007-09-01,bestseller,CRIME,Tomas Bolme,M,2007,6,na,na,na,na
SvB_BS_048,9789173134477,Norrlands Akvavit,Torgny Lindgren,M,Norstedts,2007-10-01,bestseller,PRESTIGE,Torgny Lindgren,M,2007,7,na,na,na,na
SvB_BS_049,9789173487443,Tusen strålande solar,Khaled Hosseini,M,Bonnier Audio,2013-06-03,bestseller,OTHER,Sharon Dyall,F,2007,8,na,na,na,na
SvB_BS_050,9789178090976,Skugga,Karin Alvtegen,F,Brombergs,2017-09-01,bestseller,CRIME,Karin Alvtegen,F,2007,10,na,na,na,na
SvB_BS_051,9789173489362,En märklig affär,Peter Robinson,M,Bonnier Audio,2014-07-01,bestseller,CRIME,Tomas Bolme,M,no,no,2007,19,na,na
SvB_BS_052,9789173487450,Flyga drake,Khaled Hosseini,M,Bonnier Audio,2013-06-03,bestseller,OTHER,Krister Henriksson,M,no,no,2007,12,na,na
SvB_BS_053,9789173480895,Den döende dandyn,Mari Jungstedt,F,Bonnier Audio,2007-09-21,bestseller,CRIME,Katarina Ewerlöf,F,no,no,2007,16,na,na
SvB_BS_054,9789173480642,Snabba cash,Jens Lapidus,M,Bonnier Audio,2007-11-05,bestseller,CRIME,Morgan Alling,M,no,no,2007,3,na,na
SvB_BS_055,9789176517000,Montecore,Jonas Hassen Khemiri,M,Bonnier Audio,2017-05-15,bestseller,PRESTIGE,"Hamadi Khemiri, Rikard Wolff",M,no,no,2007,18,na,na
SvB_BS_056,9789173481724,Nu vill jag sjunga dig milda sånger,Linda Olsson,F,Bonnier Audio,2008-04-01,bestseller,OTHER,Linda Olsson,F,2007,14,na,na,na,na
SvB_BS_057,9789173481793,Aldrig fucka upp,Jens Lapidus,M,Bonnier Audio,2008-05-27,bestseller,CRIME,Jonas Malmsjö,M,2008,1,na,na,na,na
SvB_BS_058,9789164232113,Men inte om det gäller din dotter,Jan Guillou,M,Piratförlaget,2008-08-01,bestseller,CRIME,Tomas Bolme,M,2008,2,na,na,na,na
SvB_BS_059,9789173481823,Sjöjungfrun,Camilla Läckberg,F,Bonnier Audio,2008-05-27,bestseller,CRIME,Katarina Ewerlöf,F,2008,3,na,na,na,na
SvB_BS_060,9789173432351,Kinesen,Henning Mankell,M,Leopard Förlag,2018-02-23,bestseller,CRIME,Gunilla Leining,F,2008,4,na,na,na,na
SvB_BS_061,9789164232298,En plats i solen,Liza Marklund,F,Piratförlaget,2008-09-01,bestseller,CRIME,Katarina Ewerlöf,F,2008,5,na,na,na,na
SvB_BS_062,9789173481885,Den som dödar draken,Leif G.W. Persson,M,Bonnier Audio,2008-05-29,bestseller,CRIME,Peter Andersson,M,2008,6,na,na,na,na
SvB_BS_063,9789173482042,Till dess din vrede upphör,Åsa Larsson,F,Bonnier Audio,2008-09-15,bestseller,CRIME,Katarina Ewerlöf,F,2008,8,na,na,na,na
SvB_BS_064,9789173482486,Nattfåk,Johan Theorin,M,Bonnier Audio,2008-09-15,bestseller,CRIME,Magnus Krepper,M,2008,10,na,na,na,na
SvB_BS_065,9789170361821,Midvinterblod,Mons Kallentoft,M,Storyside,2007-06-01,bestseller,CRIME,Torsten Wahlund,M,no,no,2008,8,na,na
SvB_BS_066,9789170362361,Mig äger ingen,Åsa Linderborg,F,Storyside,2007-11-01,bestseller,PRESTIGE,"Katarina Ewerlöf, Steve Jenkins",2,no,no,2008,4,na,na
SvB_BS_067,9789173483889,Den förlorade symbolen,Dan Brown,M,Bonnier Audio,2009-10-21,bestseller,CRIME,Jonas Malmsjö,M,2009,1,na,na,na,na
SvB_BS_068,9789173482981,Fyrvaktaren,Camilla Läckberg,F,Bonnier Audio,2009-09-16,bestseller,CRIME,Katarina Ewerlöf,F,2009,2,na,na,na,na
SvB_BS_069,9789173432764,Den orolige mannen,Henning Mankell,M,Leopard Förlag,2018-04-09,bestseller,CRIME,Krister Henriksson,M,2009,3,na,na,na,na
SvB_BS_070,9789178273034,Hypnotisören - Black edition,Lars Kepler,2,Bonnier Audio,2019-06-11,bestseller,CRIME,Jonas Malmsjö,M,2009,4,na,na,na,na
SvB_BS_071,9789164232496,Tre sekunder,Roslund & Hellström,M,Piratförlaget,2009-05-01,bestseller,CRIME,Peter Andersson,M,2009,5,na,na,na,na
